,lat,lon,mapper_count,elevation
721,44.06312,-121.35434,1,0.0
722,44.067019,-121.313026,0,0.0
723,44.067037,-121.314274,0,0.0
724,44.0733,-121.311598,0,0.0
725,44.842767,-93.180943,0,0.0
726,44.842769,-93.179677,0,0.0
727,46.072827,16.956547,0,0.0
728,47.592212,-122.184637,0,0.0
729,47.592222,-122.185967,0,0.0
730,47.593112,-122.184623,0,0.0
731,47.593121,-122.185953,0,0.0
732,47.593131,-122.187283,0,0.0
733,47.594911,-122.184595,0,0.0
734,47.595811,-122.184581,0,0.0
735,47.6012,-122.183167,0,0.0
736,47.620433,-122.232109,0,0.0
737,47.621161,-122.206812,0,0.0
738,47.624422,-122.044387,0,0.0
739,47.626704,-122.228024,0,0.0
740,47.627604,-122.22801,0,0.0
741,47.628504,-122.227997,0,0.0
742,47.637046,-122.297097,0,0.0
743,47.648181,-122.089226,0,0.0
744,47.793253,-122.241583,5,0.0
745,48.170254,-103.653647,2,0.0
746,48.17027,-103.654991,0,0.0
747,48.201368,-103.621877,0,0.0
748,48.986651,21.241929,0,0.0
749,49.289902,-122.815724,0,0.0
750,50.08998,8.256286,0,0.0
751,50.133244,8.66279,0,0.0
752,50.134144,8.662783,0,0.0
753,50.134148,8.664183,0,0.0
754,50.134156,8.666981,0,0.0
755,50.135051,8.665575,0,0.0
756,50.136904,8.685153,0,0.0
757,50.136908,8.686552,0,0.0
758,50.139603,8.685135,7,0.0
759,50.139614,8.689333,0,0.0
760,50.140513,8.689328,0,0.0
761,50.142312,8.689316,76,0.0
762,50.143215,8.69071,1,0.0
